date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:43	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5e31d8c23df06%22	http://103.145.63.69:83/robots.txt		(from )
19:30:45	165125/165125	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:30:43%20GMT	http://103.145.63.69:83/	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/index.html	(from )
19:30:45	16937/16937	---M--	200	added ('OK')	text/css	etag:%224229-5e31d8c239c9d%22	http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/jquery-ui.min1c07.css	(from http://103.145.63.69:83/)
19:30:48	150209/150209	---M--	200	added ('OK')	text/css	etag:%2224ac1-5e31d8c23a085%22	http://103.145.63.69:83/assets/css/plugin.scss1c07.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/plugin.scss1c07.css	(from http://103.145.63.69:83/)
19:30:50	105364/105364	---M--	200	added ('OK')	text/css	etag:%2219b94-5e31d8c239c9d%22	http://103.145.63.69:83/assets/css/base.scss1c07.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/base.scss1c07.css	(from http://103.145.63.69:83/)
19:30:54	288163/288163	---M--	200	added ('OK')	text/css	etag:%22465a3-5e31d8c23a855%22	http://103.145.63.69:83/assets/css/style.scss1c07.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/style.scss1c07.css	(from http://103.145.63.69:83/)
19:30:56	26552/26552	---M--	200	added ('OK')	text/css	etag:%2267b8-5e31d8c23a46d%22	http://103.145.63.69:83/assets/css/responsive.scss1c07.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/responsive.scss1c07.css	(from http://103.145.63.69:83/)
19:30:58	14348/14348	---M--	200	added ('OK')	text/css	etag:%22380c-5e31d8c239c9d%22	http://103.145.63.69:83/assets/css/custom.css	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/custom.css	(from http://103.145.63.69:83/)
19:31:00	13188/13188	---M--	200	added ('OK')	application/javascript	etag:%223384-5e31d8c23db1e%22	http://103.145.63.69:83/assets/js/webfont.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/webfont.js	(from http://103.145.63.69:83/)
19:31:08	115473/115473	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:31:02%20GMT	http://103.145.63.69:83/tim-kiem	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/tim-kiem.html	(from http://103.145.63.69:83/)
